#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_2	tRNA	31	106	-	AGOCLK_00005	Val_trna	tRNA-Val(tac)	SO:0000273
contig_2	tRNA	120	195	-	AGOCLK_00010	Ala_trna	tRNA-Ala(tgc)	SO:0000254
contig_2	tRNA	210	285	-	AGOCLK_00015	Lys_trna	tRNA-Lys(ttt)	SO:0000265
contig_2	tRNA	288	363	-	AGOCLK_00020	Glu_trna	tRNA-Glu(ttc)	SO:0000259
contig_2	rRNA	455	2003	-	AGOCLK_00025	16S_rrna	16S ribosomal RNA	GO:0003735, GO:0005840, RFAM:RF00177, SO:0001000
contig_2	rRNA	2322	2438	-	AGOCLK_00030	5S_rrna	5S ribosomal RNA	GO:0003735, GO:0005840, RFAM:RF00001, SO:0000652
contig_2	rRNA	2531	5409	-	AGOCLK_00035	23S_rrna	23S ribosomal RNA	GO:0003735, GO:0005840, RFAM:RF02541, SO:0001001
contig_3	cds	233	805	-	AGOCLK_00040		ACP phosphodiesterase	RefSeq:WP_014233684.1, SO:0001217, UniParc:UPI000243B9A7, UniRef:UniRef100_A0A1B1EHH8, UniRef:UniRef50_A0A0D6QDV8, UniRef:UniRef90_A0A1B1EHH8
contig_3	cds	1051	1350	+	AGOCLK_00045		hypothetical protein	RefSeq:WP_020334086.1, SO:0001217, UniParc:UPI0003570E80, UniRef:UniRef100_UPI0003570E80, UniRef:UniRef50_A0A1B1EH99, UniRef:UniRef90_A0A1B1EH99
contig_3	cds	1442	1792	-	AGOCLK_00050		4-amino-4-deoxy-L-arabinose transferase	RefSeq:WP_014233686.1, SO:0001217, UniParc:UPI000243B9A9, UniRef:UniRef100_A0A1B1EH92, UniRef:UniRef50_B5JUH4, UniRef:UniRef90_A0A1B1EH92
contig_3	cds	2177	2836	-	AGOCLK_00055		hypothetical protein	RefSeq:WP_020334087.1, SO:0001217, UniParc:UPI0003571DBA, UniRef:UniRef100_UPI0003571DBA, UniRef:UniRef50_A0A1B1EH74, UniRef:UniRef90_A0A1B1EH74
contig_3	cds	2966	3865	-	AGOCLK_00060		LysR family transcriptional regulator	RefSeq:WP_020334088.1, SO:0001217, UniParc:UPI000356FA90, UniRef:UniRef100_UPI000356FA90, UniRef:UniRef50_A0A290T8T4, UniRef:UniRef90_A0A0F5VHC2
contig_3	cds	4011	5504	+	AGOCLK_00065	hutH	histidine ammonia-lyase	RefSeq:WP_020334089.1, SO:0001217, UniParc:UPI00035810EF, UniRef:UniRef100_A0A1B1EHA2, UniRef:UniRef50_A2U3Y6, UniRef:UniRef90_A0A3B7D553
contig_3	cds	5519	7531	+	AGOCLK_00070	hutU	urocanate hydratase	COG:COG2987, COG:E, RefSeq:WP_020334090.1, SO:0001217, UniParc:UPI0003578B83, UniRef:UniRef100_UPI0003578B83, UniRef:UniRef50_F0P0W8, UniRef:UniRef90_A0A1B1EH77
contig_3	cds	7615	8136	-	AGOCLK_00075	yaiL	DUF2058 domain-containing protein	COG:COG3122, COG:S, KEGG:K09912, RefSeq:WP_014233705.1, SO:0001217, UniParc:UPI000243BAAD, UniRef:UniRef100_A0A3B7D3X3, UniRef:UniRef50_A0A0H3L359, UniRef:UniRef90_A0A2I3CNM1
contig_3	cds	8294	9700	-	AGOCLK_00080		Uncharacterized aminotransferase y4uB	EC:2.6.1.76, KEGG:K15785, RefSeq:WP_020334091.1, SO:0001217, UniParc:UPI000357525B, UniRef:UniRef100_UPI000357525B, UniRef:UniRef50_Q53196, UniRef:UniRef90_A0A1W6TZY1
contig_3	cds	9735	11255	-	AGOCLK_00085		NAD-dependent succinate-semialdehyde dehydrogenase	EC:1.2.1.-, KEGG:K15786, RefSeq:WP_020334092.1, SO:0001217, UniParc:UPI0003570D2C, UniRef:UniRef100_UPI0003570D2C, UniRef:UniRef50_E1V7V8, UniRef:UniRef90_A0A1B1EHV4
contig_3	cds	11408	11887	-	AGOCLK_00090		AsnC family transcriptional regulator	KEGG:K15782, RefSeq:WP_014233708.1, SO:0001217, UniParc:UPI000243BAB0, UniRef:UniRef100_A0A3B7D437, UniRef:UniRef50_A0A447QUT9, UniRef:UniRef90_A0A0P7ERY2
contig_3	cds	11940	12947	-	AGOCLK_00095	doeB	N(2)-acetyl-L-2,4-diaminobutanoate deacetylase DoeB	EC:3.5.1.125, KEGG:K15784, RefSeq:WP_020334094.1, SO:0001217, UniParc:UPI000357CF36, UniRef:UniRef100_UPI000357CF36, UniRef:UniRef50_E1V7W0, UniRef:UniRef90_A0A3B7CZZ7
contig_3	cds	12995	14182	-	AGOCLK_00100	doeA	ectoine hydrolase DoeA	EC:3.5.4.44, KEGG:K15783, RefSeq:WP_014233710.1, SO:0001217, UniParc:UPI000243BAB2, UniRef:UniRef100_A0A1B1EH79, UniRef:UniRef50_E1V7W1, UniRef:UniRef90_A0A0H0YG29
contig_3	cds	14642	15646	-	AGOCLK_00105		LacI family transcriptional regulator	RefSeq:WP_020334095.1, SO:0001217, UniParc:UPI000358151C, UniRef:UniRef100_UPI000358151C, UniRef:UniRef50_A0A329EHC6, UniRef:UniRef90_A0A1B1EH64
contig_3	cds	15846	16703	+	AGOCLK_00110		hypothetical protein	PFAM:PF00702.29, PFAM:PF13242.9
contig_3	cds	16929	18365	-	AGOCLK_00115		6-phospho-beta-glucosidase	RefSeq:WP_020334099.1, SO:0001217, UniParc:UPI0003582389, UniRef:UniRef100_UPI0003582389, UniRef:UniRef50_A0A7T0KDD3, UniRef:UniRef90_A0A1R4B7W6
contig_3	cds	18378	20267	-	AGOCLK_00120		PTS beta-glucoside transporter subunit EIIBCA	EC:2.7.1.-, KEGG:K02757, RefSeq:WP_020334100.1, SO:0001217, UniParc:UPI00035756CB, UniRef:UniRef100_UPI00035756CB, UniRef:UniRef50_A0A0N0Z829, UniRef:UniRef90_A0A1B1EH72
contig_3	cds	20676	22118	+	AGOCLK_00125		6-phospho-beta-glucosidase	RefSeq:WP_020334101.1, SO:0001217, UniParc:UPI0003572762, UniRef:UniRef100_UPI0003572762, UniRef:UniRef50_C5EP49, UniRef:UniRef90_A0A1B1EH61
contig_3	cds	22175	23191	-	AGOCLK_00130		AraC family transcriptional regulator	RefSeq:WP_020334102.1, SO:0001217, UniParc:UPI000357BE28, UniRef:UniRef100_UPI000357BE28, UniRef:UniRef50_A0A1W6TK55, UniRef:UniRef90_A0A1B1EHF8
contig_3	cds	23320	24081	+	AGOCLK_00135		oxidoreductase	RefSeq:WP_020334103.1, SO:0001217, UniParc:UPI0003582EA9, UniRef:UniRef100_UPI0003582EA9, UniRef:UniRef50_A0A1C9W3E5, UniRef:UniRef90_A0A1B1EHU5
